Brand, Product Name, Shipping
MSI,MSI GeForce GTX 1080 DirectX 12 GTX 1080 DUKE 8G OC Video Cards,Free Shipping
PowerColor,PowerColor RED DRAGON Radeon RX 580 DirectX 12 AXRX 580 8GBD5-3DHDV2/OC Video Card,Free Shipping
EVGA,EVGA GeForce GTX 1060 GAMING| ACX 2.0 (Single Fan)| 06G-P4-6161-KR| 6GB GDDR5| DX12 OSD Support (PXOC)| Only 6.8 Inches,$4.99 Shipping
Sapphire Tech,Sapphire Radeon NITRO+ RX 580 8GB GDDR5 PCI-E Dual HDMI / DVI-D / Dual DP w/ Backplate SPECIAL EDITION (UEFI)| 100411NT+8GSEL,$4.99 Shipping
ASUS,ASUS ROG GeForce GTX 1080 STRIX-GTX1080-A8G-GAMING Video Card,Free Shipping
GIGABYTE,GIGABYTE AORUS GeForce GTX 1080 Ti DirectX 12 GV-N108TAORUS-11GD Video Card,$4.99 Shipping
ZOTAC,ZOTAC GeForce GTX 1070 Mini| ZT-P10700G-10M| 8GB GDDR5,$4.99 Shipping
ASUS,ASUS Radeon RX 580 O4G Dual-fan OC Edition GDDR5 DP HDMI DVI VR Ready AMD Graphics Card (DUAL-RX580-O4G),$4.99 Shipping
MSI,MSI Radeon RX 580 DirectX 12 RX 580 ARMOR MK2 8G OC 8GB 256-Bit GDDR5 PCI Express x16 HDCP Ready CrossFireX Support Video Card,$4.99 Shipping
GIGABYTE,GIGABYTE GeForce GTX 1060 DirectX 12 GV-N1060WF2OC-3GD Video Card,$4.99 Shipping
EVGA,EVGA GeForce GTX 1080 FTW GAMING ACX 3.0| 08G-P4-6286-KR| 8GB GDDR5X| RGB LED| 10CM FAN| 10 Power Phases| Double BIOS| DX12 OSD Support (PXOC),$4.99 Shipping
ZOTAC,ZOTAC GeForce GTX 1080 AMP! Edition| ZT-P10800C-10P| 8GB GDDR5X IceStorm Cooling| Metal Wraparound Carbon ExoArmor Exterior| Ultra-wide 100mm Fans| Spectra Lighting| PowerBoost| FREEZE Fan Stop,$4.99 Shipping
